"stepOne_Param","stepOneTwo_Param","stepTwoTwo_Param","rewards_Param","stepOneChoice","stepTwoChoice","reward","rewardProbabilities","isHighProbOne","isHighProbTwo","trial_type","trial_index","time_elapsed","internal_node_id"
"[0,1]","[0,1]","[2,3]","[false,false,true,true]","0","0","false","[0.5363063985801666,0.25,0.6770998419400817,0.35738980716737334]","true","true","dawsTwoStep","31","97658","0.0-31.0"
"[1,0]","[1,0]","[2,3]","[true,false,true,true]","1","3","true","[0.5351731940350581,0.25,0.6753573312304788,0.31893998104027754]","true","true","dawsTwoStep","32","99923","0.0-32.0"
"[1,0]","[0,1]","[0,1]","[true,false,true,true]","0","0","true","[0.5823728535608231,0.2568672518915954,0.6761983369164027,0.3219687902718304]","true","false","dawsTwoStep","33","102144","0.0-33.0"
"[1,0]","[2,3]","[1,0]","[true,false,true,true]","0","3","true","[0.6018586616882902,0.2906795213459657,0.6738732383553399,0.3127339927816068]","false","false","dawsTwoStep","34","104616","0.0-34.0"
"[1,0]","[2,3]","[3,2]","[false,false,true,true]","1","3","true","[0.573849361116493,0.29111523662889954,0.6867692737319312,0.29252186082116766]","false","true","dawsTwoStep","35","106986","0.0-35.0"
"[0,1]","[0,1]","[3,2]","[false,false,true,false]","0","1","false","[0.5170291623553512,0.2961679386256565,0.6640119672860584,0.28689017176100773]","true","true","dawsTwoStep","36","109429","0.0-36.0"
"[0,1]","[1,0]","[2,3]","[false,true,true,false]","1","2","true","[0.4723542347911358,0.31097268153586977,0.6217275855494251,0.33850974195178746]","true","true","dawsTwoStep","37","111727","0.0-37.0"
"[1,0]","[0,1]","[3,2]","[false,false,true,true]","0","1","false","[0.4969169750472159,0.2993810817135057,0.6560209861019884,0.3094547052812645]","true","true","dawsTwoStep","38","114114","0.0-38.0"
"[0,1]","[0,1]","[1,0]","[true,false,true,false]","0","0","true","[0.48443603154315446,0.2872447513143833,0.663842288792182,0.3164063963003803]","true","false","dawsTwoStep","39","117082","0.0-39.0"
"[0,1]","[2,3]","[2,3]","[false,false,false,false]","0","3","false","[0.4837512479386404,0.34519186277331687,0.6791568712677764,0.34782140099640074]","false","true","dawsTwoStep","40","119505","0.0-40.0"
"[0,1]","[2,3]","[3,2]","[true,true,true,true]","1","3","true","[0.4901190939421317,0.37417116650111343,0.7013620266612461,0.35708024462289106]","false","true","dawsTwoStep","41","121656","0.0-41.0"
"[1,0]","[0,1]","[3,2]","[false,false,true,true]","0","1","false","[0.4604656225109179,0.34704925528399255,0.658381274524425,0.37452032483833786]","true","true","dawsTwoStep","42","123997","0.0-42.0"
"[0,1]","[0,1]","[3,2]","[false,false,true,false]","0","0","false","[0.457291310136818,0.3556913872114629,0.6430906854014883,0.34469490484870674]","true","true","dawsTwoStep","43","126530","0.0-43.0"
"[1,0]","[2,3]","[0,1]","[false,true,true,false]","1","1","true","[0.41581547330593605,0.38997346868710714,0.6759050104722293,0.34457510314481743]","false","false","dawsTwoStep","44","129012","0.0-44.0"
"[1,0]","[1,0]","[2,3]","[false,false,false,true]","0","1","false","[0.3953202767256368,0.36831910262335243,0.6836663069590716,0.3512902775420322]","true","true","dawsTwoStep","45","131875","0.0-45.0"
"[0,1]","[1,0]","[0,1]","[false,false,true,false]","1","1","false","[0.3826073643918818,0.3646519279543614,0.6804943884616808,0.3666437786126988]","true","false","dawsTwoStep","46","134380","0.0-46.0"
"[0,1]","[0,1]","[1,0]","[false,true,false,false]","0","0","false","[0.364629272881648,0.35353161745546274,0.6742607504413412,0.407314808989587]","true","false","dawsTwoStep","47","136639","0.0-47.0"
"[1,0]","[3,2]","[1,0]","[false,true,false,false]","1","0","false","[0.40547365457541507,0.385476065818272,0.6804963750495739,0.44034555978605716]","false","false","dawsTwoStep","48","139098","0.0-48.0"
"[1,0]","[0,1]","[3,2]","[false,false,false,false]","0","0","false","[0.4398809864263301,0.3694282123883462,0.6749517155377247,0.441516273715248]","true","true","dawsTwoStep","49","141951","0.0-49.0"
"[1,0]","[3,2]","[1,0]","[true,false,false,true]","0","2","false","[0.3794598526567188,0.3697171602433099,0.6624148023867554,0.4627010239997345]","false","false","dawsTwoStep","50","144234","0.0-50.0"
"[1,0]","[2,3]","[1,0]","[true,false,true,true]","1","1","false","[0.3750276412125465,0.3717344483422198,0.6875853966889105,0.45355614222643387]","false","false","dawsTwoStep","51","147724","0.0-51.0"
"[1,0]","[1,0]","[2,3]","[false,true,true,true]","1","3","true","[0.4147437747200301,0.33907976443805055,0.6659377174421449,0.4783154314363144]","true","true","dawsTwoStep","52","150210","0.0-52.0"
"[0,1]","[0,1]","[3,2]","[false,false,true,false]","1","3","false","[0.39349278806200194,0.35515984215309243,0.5990570060953355,0.4420067994858665]","true","true","dawsTwoStep","53","152568","0.0-53.0"
"[1,0]","[1,0]","[2,3]","[true,false,true,false]","0","0","true","[0.4087689691212605,0.368611801722539,0.6254192110692565,0.4555470676429082]","true","true","dawsTwoStep","54","154950","0.0-54.0"
"[1,0]","[1,0]","[2,3]","[true,false,true,true]","1","2","true","[0.4081148412264465,0.37348249431106945,0.6112493591155707,0.4136491718974916]","true","true","dawsTwoStep","55","157184","0.0-55.0"
"[0,1]","[0,1]","[1,0]","[true,true,true,true]","0","1","true","[0.4159402292739577,0.3475342598195112,0.6400298237332301,0.3747641634383053]","true","false","dawsTwoStep","56","159598","0.0-56.0"
"[1,0]","[0,1]","[2,3]","[true,false,false,false]","0","0","true","[0.48155866836706773,0.33421433270778106,0.6550132906343448,0.39977808005614424]","true","true","dawsTwoStep","57","162042","0.0-57.0"
"[1,0]","[0,1]","[3,2]","[true,false,true,false]","0","1","false","[0.515216146153906,0.31092388207188704,0.6807353879615979,0.39985850696434]","true","true","dawsTwoStep","58","164315","0.0-58.0"
"[1,0]","[2,3]","[3,2]","[false,false,true,false]","1","3","false","[0.5084516658885992,0.33431090799613306,0.6172011529582487,0.43058257701328523]","false","true","dawsTwoStep","59","166861","0.0-59.0"
"[1,0]","[3,2]","[2,3]","[true,false,false,false]","1","3","false","[0.5377402279607699,0.3331186517996798,0.6327983706462573,0.41208430804185414]","false","true","dawsTwoStep","60","169104","0.0-60.0"
"[1,0]","[0,1]","[2,3]","[true,false,true,false]","0","0","true","[0.560124172655951,0.30283075842400276,0.6618084607509627,0.4461450412653783]","true","true","dawsTwoStep","61","171349","0.0-61.0"
