"stepOne_Param","stepOneTwo_Param","stepTwoTwo_Param","rewards_Param","stepOneChoice","stepTwoChoice","reward","rewardProbabilities","isHighProbOne","isHighProbTwo","trial_type","trial_index","time_elapsed","internal_node_id"
"[0,1]","[0,1]","[2,3]","[false,true,false,true]","0","0","false","[0.5620534260851532,0.7315789289114011,0.2845201835981363,0.564070300270974]","true","true","dawsTwoStep","31","116608","0.0-31.0"
"[1,0]","[0,1]","[2,3]","[true,true,false,true]","0","0","true","[0.6066284793678729,0.7059260561447462,0.2777734616423311,0.5615417215466825]","true","true","dawsTwoStep","32","119953","0.0-32.0"
"[0,1]","[3,2]","[3,2]","[true,false,false,false]","0","2","false","[0.6344493419396211,0.6537003656776357,0.30195388275596224,0.5244132872759225]","false","true","dawsTwoStep","33","124228","0.0-33.0"
"[1,0]","[1,0]","[3,2]","[false,true,true,false]","0","1","true","[0.6351207568461005,0.6770048050068516,0.2654967106583935,0.5413152453197064]","true","true","dawsTwoStep","34","127902","0.0-34.0"
"[0,1]","[1,0]","[3,2]","[true,false,false,true]","0","0","true","[0.6606340409823392,0.6796235350460844,0.25,0.5976400549441082]","true","true","dawsTwoStep","35","130745","0.0-35.0"
"[1,0]","[0,1]","[0,1]","[true,true,false,false]","0","0","true","[0.6443232766812172,0.7036596561528083,0.25,0.6252726322292605]","true","false","dawsTwoStep","36","133693","0.0-36.0"
"[0,1]","[0,1]","[3,2]","[true,true,false,false]","0","0","true","[0.6394067693941654,0.6934339962786694,0.3054604378049034,0.6138986065476563]","true","true","dawsTwoStep","37","136446","0.0-37.0"
"[1,0]","[3,2]","[0,1]","[false,false,false,true]","0","2","false","[0.6541088564954425,0.6985031620324357,0.291847803960952,0.6855264811438591]","false","false","dawsTwoStep","38","139373","0.0-38.0"
"[1,0]","[1,0]","[2,3]","[false,true,false,true]","0","0","false","[0.6682792667169687,0.6779011967879979,0.26624393867499013,0.6705786329740463]","true","true","dawsTwoStep","39","142225","0.0-39.0"
"[0,1]","[0,1]","[3,2]","[true,true,false,true]","0","0","true","[0.6869695290927789,0.6482202838883548,0.25,0.6760701461719293]","true","true","dawsTwoStep","40","145189","0.0-40.0"
