"stepOne_Param","stepOneTwo_Param","stepTwoTwo_Param","rewards_Param","stepOneChoice","stepTwoChoice","reward","rewardProbabilities","isHighProbOne","isHighProbTwo","trial_type","trial_index","time_elapsed","internal_node_id"
"[0,1]","[3,2]","[3,2]","[false,true,false,true]","1","2","false","[0.25,0.5696775357629209,0.26224104687162825,0.737993127081598]","false","true","dawsTwoStep","31","149726","0.0-31.0"
"[1,0]","[1,0]","[2,3]","[false,true,false,true]","0","1","true","[0.25,0.6308431577336397,0.2916896636779869,0.7277292714030502]","true","true","dawsTwoStep","32","152547","0.0-32.0"
"[1,0]","[0,1]","[2,3]","[true,true,false,true]","0","1","true","[0.25,0.6416776902156553,0.2892378076408474,0.7305509556769372]","true","true","dawsTwoStep","33","156700","0.0-33.0"
"[1,0]","[0,1]","[3,2]","[false,true,false,false]","0","1","true","[0.2686575781681958,0.6814720994919379,0.2902572737199309,0.6914956980944802]","true","true","dawsTwoStep","34","160047","0.0-34.0"
"[1,0]","[1,0]","[0,1]","[false,false,true,true]","0","0","false","[0.25,0.7002357922854361,0.27982797381135516,0.685195223072451]","true","false","dawsTwoStep","35","162923","0.0-35.0"
"[0,1]","[1,0]","[2,3]","[false,true,false,true]","1","3","true","[0.25,0.6926685718969998,0.27304578599746676,0.7174029567105284]","true","true","dawsTwoStep","36","166687","0.0-36.0"
"[1,0]","[0,1]","[0,1]","[false,false,false,true]","0","1","false","[0.2597717397000183,0.651486135563338,0.300992606354696,0.737542660395674]","true","false","dawsTwoStep","37","169897","0.0-37.0"
"[0,1]","[0,1]","[2,3]","[false,true,false,true]","1","2","false","[0.25,0.640003476438411,0.3044992355738936,0.75]","true","true","dawsTwoStep","38","172754","0.0-38.0"
"[0,1]","[0,1]","[3,2]","[false,true,true,true]","1","2","true","[0.25,0.5785721997080688,0.33896136735690385,0.75]","true","true","dawsTwoStep","39","175537","0.0-39.0"
"[0,1]","[0,1]","[3,2]","[true,true,false,false]","0","1","true","[0.25,0.6150892781782136,0.347671434086295,0.7318369004267504]","true","true","dawsTwoStep","40","178388","0.0-40.0"
"[1,0]","[1,0]","[3,2]","[false,true,true,true]","1","2","true","[0.25,0.6189868052826164,0.32908352206537395,0.7467984194113207]","true","true","dawsTwoStep","41","181545","0.0-41.0"
"[1,0]","[3,2]","[2,3]","[true,true,true,false]","1","2","true","[0.25,0.5785806060955406,0.38026555592641237,0.7443775870931382]","false","true","dawsTwoStep","42","184577","0.0-42.0"
"[0,1]","[0,1]","[3,2]","[false,false,false,false]","0","1","false","[0.26521306684889373,0.6147075313393257,0.34198651833414506,0.75]","true","true","dawsTwoStep","43","187909","0.0-43.0"
"[1,0]","[0,1]","[0,1]","[true,false,false,true]","1","0","true","[0.2982674930522692,0.5967412158614336,0.30913728466400037,0.75]","true","false","dawsTwoStep","44","190896","0.0-44.0"
"[0,1]","[0,1]","[2,3]","[true,true,false,false]","0","1","true","[0.29830253888950486,0.6116235569337103,0.3344523318461385,0.7257657421693853]","true","true","dawsTwoStep","45","193921","0.0-45.0"
"[1,0]","[3,2]","[3,2]","[false,true,false,true]","1","3","true","[0.3472452119094821,0.574666702172223,0.33470386201347757,0.7079786691914414]","false","true","dawsTwoStep","46","197499","0.0-46.0"
"[0,1]","[3,2]","[3,2]","[false,true,false,true]","0","2","false","[0.30852516656823625,0.5402092893901044,0.35352281483048287,0.7074841916815598]","false","true","dawsTwoStep","47","200496","0.0-47.0"
"[0,1]","[1,0]","[1,0]","[false,true,false,true]","0","1","true","[0.32268926525560526,0.5363876429043742,0.34518007355093355,0.6738219641461731]","true","false","dawsTwoStep","48","203212","0.0-48.0"
